id,fuente,dieta_heuristica,video_id,package,url,texto_proc,sentimiento,pred
UgyELkCA8GZdrA7FA7F4AaABAg,youtube,sin_dieta,B_Ta5u7ytbg,,https://www.youtube.com/watch?v=B_Ta5u7ytbg,"el estudio de el molécula neu5gc y el cáncer : el n-glicolilneuraminic acid ( neu5gc ) ser uno tipo de ácido siálico que él encontrar en el mayoría de el mamífero , pero no_en no_humanos no_, debido a uno mutación inactivante en el gen cmah que ocurrir hacer uno 2-3 millón de año , antes de el aparición del género homo . a pesar de que el humano no_sintetizar no_neu5gc no_, este compuesto poder incorporar él en tejido humano a través del consumo de alimento de origen animal , principalmente carne rojo ( como carne de r , cerdo y cordero ) y , en menor medida , producto lácteo . este incorporación dietético y su interacción con el sistema inmunológico humano haber ser objeto de estudio en relación con el riesgo de cáncer , especialmente el cáncer colorrectal , aunque también él haber asociar con otro tipo de cáncer como el de mama , ovario , próstata y pulmón . relación entre neu5gc y el cáncer incorporación en tejido humano : neu5gc él incorporar a el célula humano a través de proceso como el pinocitosis o el macropinocitosis , y luego él integrar en glicoconjugado ( glicoproteína y glicolípido ) en el superficie celular . este compuesto ser reconocer por el sistema inmunológico humano como uno antígeno foráneo , él que llevar a el producción de anticuerpo anti-neu5gc ( xeno-autoanticuerpos ) . inflamación crónico ( "" xenosialitis "" ): el interacción entre el neu5gc incorporado en el célula humano y el anticuerpo anti-neu5gc generar uno inflamación crónico , conocido como xenosialitis . este inflamación él deber a el liberación de citoquina proinflamatoria , como el il-6 , que poder promover el desarrollo y progresión de tumor al crear uno microambiente inflamatorio favorable para el crecimiento tumoral . estudio en ratón deficiente en neu5gc ( simular el condición humano ) haber mostrar que el combinación de uno dieta rico en neu5gc y el presencia de anticuerpo anti-neu5gc aumentar significativamente el incidencia de carcinoma , hasta cinco vez más en alguno caso . neu5gc como biomarcador tumoral : él haber observar que el tejido canceroso , como el de colon , mama , ovario , próstata y pulmón , presentar nivel elevado de neu5gc en comparación con tejido sano . este acumulación poder deber él tanto a el incorporación dietético como a uno posible biosíntesis de novo en célula canceroso bajo condición de hipoxia , aunque el mecanismo exacto no_estar no_completamente no_aclarar . el presencia de neu5gc en glicoconjugado ( como el gangliósido gm3(neu5gc ) ) él haber proponer como uno biomarcador para el detección , monitoreo y pronóstico de varios tipo de cáncer . por ejemplo , ensayo basado en lectina específico como subb2 m haber mostrar alto sensibilidad y especificidad para detectar neu5gc en suero de paciente con cáncer de ovario ( 100% sensibilidad y especificidad ) y mama ( 98.96% especificidad y 100% sensibilidad ) . evidencia específico en cáncer colorrectal : estudios como el french nutrinet-santé haber encontrar uno correlación entre el consumo de carne rojo y lácteo , el ingesta de neu5gc , y uno mayor riesgo de cáncer colorrectal . el dato mostrar que el incidencia y mortalidad por cáncer colorrectal estar asociado con uno mayor consumo de carne a nivel nacional , y el nivel de anticuerpo anti-neu5gc en suero estar relacionado con el ingesta de neu5gc . este relación sugerir que el inflamación inducido por neu5gc poder ser uno mecanismo clave en el carcinogénesis colorrectal . otro tipo de cáncer : además del cáncer colorrectal , neu5gc él haber detectar en tumor de pulmón , páncreas , ovario , mama y próstata . por ejemplo , el gangliósido gm3(neu5gc ) estar sobreexpresado en sarcoma , melanoma y carcinoma de pulmón no_microcítico no_, no_y él haber asociar con uno peor pronóstico en término de supervivencia a 5 año . también él haber proponer como uno antígeno tumoral específico para inmunoterapia , como el uso de anticuerpo humanizado como 14f7ht. limitaciones y controversia : aunque el estudio en modelo animal ( ratón deficiente en neu5gc ) haber proporcionar evidencia sólido sobre el papel de neu5gc en el inflamación y el progresión tumoral , el traducción directo a humano ser complicado . el humano absorber solo uno fracción pequeño del neu5gc ingerido ( 3-6% él excretar rápidamente ) , y factor de estilo de vida como el obesidad , el tabaquismo o el consumo de alcohol poder influir en el riesgo de cáncer , él que dificultar aislar el efecto de neu5gc . además , alguno estudio sugerir que el nivel bajo de neu5gc poder correlacionar él con mejor pronóstico en cierto caso , él que requerir más investigación . implicación y recomendación dieta y reducción de riesgo : el evidencia sugerir que reducir el consumo de carne rojo y producto lácteo poder disminuir el incorporación de neu5gc y , potencialmente , el riesgo de inflamación crónico y cáncer . carnes blanco ( como pollo ) y pescado contener nivel insignificante de neu5gc , él que él convertir en alternativa más seguro . biomarcador y diagnóstico : el detección de neu5gc en suero , orina o tejido tumoral mediante técnica como resonancia de plasmón de superficie ( spr ) o ensayo basado en lectina ( subb2 m , lip ) poder mejorar el diagnóstico temprano y el monitoreo de varios tipo de cáncer . inmunoterapia : el desarrollo de terapia dirigido contra antígeno que contener neu5gc , como el gangliósido gm3(neu5gc ) , estar en curso y poder ofrecer nuevo opción para el tratamiento del cáncer . conclusión el molécula neu5gc , presente en carne rojo y lácteo , él incorporar en tejido humano y poder inducir inflamación crónico al interactuar con anticuerpo anti-neu5gc , él que él haber asociar con uno mayor riesgo de cáncer , especialmente colorrectal . además , su presencia en tumor él convertir en uno potencial biomarcador para el diagnóstico y pronóstico del cáncer . sin embargo , él necesitar más estudio clínico en humano para confirmar el causalidad y esclarecer el mecanismo , especialmente en relación con el posible biosíntesis de neu5gc en célula canceroso . reducir el consumo de alimento rico en neu5gc poder ser uno estrategia preventivo , aunque deber considerar él en el contexto de otro factor de riesgo .",neg,neu
UgzFc9V2WmuRBBA4pPt4AaABAg,youtube,mediterranea,B_Ta5u7ytbg,,https://www.youtube.com/watch?v=B_Ta5u7ytbg,""" resumen""(recuerda dar él like el video ) el buen alimentación ser importante para evitar cáncer , alzheimer y otro demencia , artrosis y perdido de músculo . 1:20 que ser el dieta mediterraneo ? dieta específico de grecia , sur de italia y alguno región de españa . su principal fuente de grasa ser el aceite de oliva . fruta y verdura en grande cantidad . ( 6 o más por dia ) , para vitamina , mineral y fibra legumbres y fruto seco para proteína , hidrato y grasa . granos entero como pan integral , arroz . más consumo de pescado con buen cantidad de omega 3 ( 2-3 por semana ) 2:33 algo de consumo de vino tinto poco cantidad de sal uso de hierba y especia baja cantidad de carne rosas y no_producto no_ultraprocesado no_. 3:20 como mejorar estar dieta : 1 . buscar mejor fuente de hidrato de carbono , ( el exceso de azúcar como glucós o fructós acelerar el envejecimiento y empeorar el calidad de vida ) reemplazar grano y cereal integral como el arroz , pan o pasta con alimento de hidrato mas lento y mas rico en micronutrient como él ser hongos(ricos en compuesto antienvejecimiento proteger contra el estrés oxidativo , reducir el inflamación y evitar célula zombies(inútil ) , ayuda a mantener el mucosa intestinal por el probióticos)(no tomar hongos con cafe ) , alberjas , zanahorio , calabaza , berenjena , etc , legumbres quinoa ... bajar el glucós e insulina , reducir el velocidad de envejecimiento , el riesgo de enfermedad metabólico ( sobrepeso , cardiovascular ) ... 2 . 7:09 eliminar todo el alcohol , por su caloría vacías(sin nutrient ) , por ser toxico(por ese dar resaca ) , porque destruir virus , célula y bacteria incluso en el flora bacterián , por el acetaldehido que ser procancerigeno , el antioxidant que contener como él ser el caso del vino visto desde este punto no_él no_valer no_. 3 . 11:15 reemplazar bebida por tú y café ( reducción en mortalidad del 20% ) ( el café reducir el cáncer ) ( aunque el café no_ser no_recomendable no_para persona hipertensa ) , 12:04 ser necesario no_consumir no_cafe no_de mas y saber en qué momento tomar él . 12:40 el tú y café funcionar a nivel de longevidad porque tener polifenol que ser antiinflamatorio , el café reducir el glucós y ayuda a sensibilizar él a el insulina ayudar a bajar de peso , el tú ayudar a reducir el riesgo de alzheimer y parkinson , 13:26 el te verde ser anticancerigeno al reducir el forma de vaso sanguíneo alterado , reducir también el colesterol ldl y aumentar el metabolismo y oxidación de el grasa . 13:55 frente al consumo de tú verde o mate antes de ejercicio él poder quemar más grasa a comparación de sin él . 14:24 el mate actuar como uno ozempic pero en menor intensidad y menos riesgo de salud . 4 . 14:44 reducir el consumo de lácteo , principalmente el leche , 15:39 el hidrato de carbono de el leche , rico en lactosa(que él ir digerir peor a medida que él envejecer , cuando él lograr digerir él conseguir glucós y galactós que no_él no_usar no_sino que en adulto estimular el estrés oxidativo , inflamación crónico , reducir performance y función cognitivo ) 17:44 acelerar el envejecimiento 18:02 yo hacer menos sensible a el insulina , 19:17 estimular el mtor o factor de crecimiento , que ayudar cuando él este desarrollar y crecer , también a aumentar el músculo por él que ser positivo en ese aspecto pero negativo a nivel de longevidad(mirar video de que mucho musculo ser malo para el longevidad ) todo este porque el celula que generar el mtor ser menos efectivo para mantener él correctamente 20:53 . 21:14 reducir consumo de leche de vaca , ser preferible en queso que el lactosa ser bajo o inexistente , priorizar queso de cabra , oveja , etc ... o consumir calcio de otro alimento . 5 . 24:08 consumir mas fermentado , ayudar a disminuir el daño en el cuerpo más que nada en este caso en el flora bacterián , daño provocado por 24:31 estrés , consumo de alcohol , no_consumir no_alimento no_orgánico , el consumo de pesticida , antiinflamatorio como el paracetamol e ibuprofeno . 25:19 consumir pequeño cantidad de fermentando en todo el comida . el fermento también bajar el inflamación 26:10 reducir el antinutrient de el vegetal 26:45 fermetado como el nato ayudar a el enzima y revertir el placa de ateroesclerosis en el carotida que él formar a medida que él envejecer . 6 . 26:58 consumir suplemento para poder cubrir el déficit nutricional por culpa de pesticida , explotación del suelo , etc. 28:14 y para este medir de manera anual el micronutrient en el cuerpo para entender si el dieta y habito actual estar bien y saber que suplementar .",neg,neu
Ugx_bi2D1BjgSlURNMx4AaABAg,youtube,ayuno,T9A7iKzCuGw,,https://www.youtube.com/watch?v=T9A7iKzCuGw,"hola mucho de acuerdo con el primero parte el palabra clave ser * lipotoxicidad * ser el umbral del tejido adiposo cuando ser disfuncional que ser que el adipocito ( célula del tejido adiposo ) él hacer más grande ( por adaptación cuando haber demasiado triglicérido para almacenar ) y secretar factor inflamatorio como el il6 , tnf-α que intoxicar a el demás célula como el miocito ( célula muscular ) producir el resistencia a el insulina , el hepatocito producir el esteatosis hepático ( hígado graso ) , el riñón , páncreas , etc. no_necesariamente no_tener no_que haber obesidad evidente sino que el composición corporal no_tener no_tanto no_músculo esquelético . el páncreas ir a secretar más insulín para que el miocito obedecer y obviamente él resientir el función de el célula β-pancreática ( el que fabricar el insulina ) ergo por uno tiempo el glucosa él lograr controlar decir "" a el patada "" con mucho insulina pero no_dejar no_de no_haber efecto secundario de tanto insulina en sangre . el insulina ser uno hormona anabólico ( que forma , que sintetizar y crea ) por excelencia ver su efecto : * positivo * -hacir glucógeno que ser el combustible muscular y hepático para el ayuno . -hacir músculo que ser importante para que haber más célula que consumar el glucós circulante y porque querer subir el masa muscular * negativo * -hacir adipocito que ser justo él que menos necesitar en el diabetes / obesidad y ser por ese que el persona con diabetes al principio él costar bajar de peso . si uno detectar el enfermedad en progreso y aplicar dieta como el propuesta cetogénico haber varios problema , pues no_él no_atacar no_el problema de base que ser el lipotoxicidad . * que uno bajar de peso no_implicar no_que no_uno bajar grasa * haber diverso factor : flexibilidad metabólico , sedentarismo , etc . no_solo no_ese no_sino que uno dieta cetogénico o cualquiera dieta mucho bajo en carbohidrato hacer entrar al organismo en el cetosis , el hígado estar funcionar como loco para hacer gluconeogénesis ( hacer glucosa de macronutrient que no_ser no_carbohidrato no_) y el subproducto ser el cuerpo cetónico y uno persona diabético ya hacer bastante de ese porque su gluconeogénesis estar bastante activo ( por culpa de el resistencia a el insulina con base en el lipotoxicidad ) y el riesgo de cetoacidosis diabética él incrementar ( este ser mucho grave , pues ser para ir al hospital ojito ) . por cierto ninguno hepatólogo en su sano juicio recomendar ese tipo de dieta con esteatosis hepático pues querer que el hígado funcionar él menos posible porque el gluconeogénesis ser "" mucho costoso "" bioquímicamente , con mucho paso y subproducto mucho tóxico que haber que reconvertir , no_ser no_el no_forma más fisiológico que evolucionar por ese que nuestro dieta él basar principalmente en carbohidrato ( 55%-60% él soler decir ) pues ser muchísimo más "" fácil "" meter el glucosa de el alimento a el sangre que glucós "" fabricado "" . ser por ese que ninguno asociación de diabetes serio como el american diabetes association * no_* no_recomendar no_el dieta cetogénico , ser el primero en recomendar él si ser de ayuda , no_haber no_complots no_con uno enfermedad tanto extendido y serio ir ... en fin yo dejar varios cosa pero bueno por ahí ir el tiro . saludo",neu,neg
Ugx4XoT_hnCBjzPY6k94AaABAg,youtube,ayuno,NBMJA7Y-THU,,https://www.youtube.com/watch?v=NBMJA7Y-THU,"bueno no_todo no_ser no_igual , por mi propio experiencia en 18 hora a 24 cuando comenzar logré estabilizar el metabolismo , revertir el resistencia a el insulina , active el perdida de grasa con ejercicio hit y pesa en ayuna , eliminación de el grasa visceral , aumento de el capacidad cognitivo , aumento de el energía casi q ilimitado , ese ser uno de el síntoma , mucho energía , este obvio ser acompañar de el eliminación de todo tipo de carbo , mejora de el visión , mejora del intestino y su microbiota , y si ese no_ser no_producir no_por autofagia entonces a qué él deber ? por ese pensar q cada quien deber conocer su límite ya que él q él funcionar a uno no_él no_funcionar no_a otro , en mi caso cuando intentar hacer uno ayuno de más de 24 hora sentir q ya no_ser no_el no_opción y no_querer no_decir no_q no_él no_volver no_a intentar pero no_tener no_el no_necesidad , ya que comencé con ayuno de 12 hora ( comer 4 vez al día ) llegar a 24 en uno lapso de 3 mes hacer ensayo , luego ya el cuerpo él adapto de manera natural a 18 a veces 16 sin ingesta de nada y sin esfuerzo , de hecho ser cuando más energía él llegar a tener , y ser normal ya q el cuerpo no_él no_usar no_para digerir y otro proceso relacionado con el alimento , por ese pensar que no_ser no_necesario no_ni siquiera en el mayoría de el caso llegar a 48 hora salvar q el condición particular de el mismo persona así él requerir , y para saber él deber intentar él y ver qué tanto energía poder desarrollar , de él contrario uno ayuno con efecto o sensación de bajo energía deber revisar él porque algo no_estar no_bien no_... sin embargo no_ser no_el no_generalidad , y de seguro tener q ver con el hora inicial de ayuno y su asimilación mental , ya que todo ser mente y como estar estar preparado para cambiar el patrón y habito que él llevar a tener q revisar su posición con respecto a el nutrición y estilo de vida en general , ser i.portantw él q decir el dr acá , mantener él hidratado con su respectivo electrolito ser fundamental , mucho cuidado xon ese , creer q ser uno factor de el maa importante al comenzar con el practica del ayuno y al dejar él ya como estilo de vida , además de establecer uma base él alimentación basado en el desarrollo de el cetogenesis , skn q él impedir luego de sanado el organismo a incluir alguno carbohidrato cuyo proceso deber ir acompañado de actividad deportivo de moderado a intenso en relación a el edad . ese ayudar a incrementar el hormona igf q ser uno potenciador o turbo de el insulina q él poder encontrar en el torrente sanguíneo debido a el glucosa existente sobre todo aquel q producir el mismo hígado por gluconeogenesis , estar hormona igf ser el precursora de otro hormona asociado al crecimiento y reparación de el tejido de uno manera más eficiente . saludo",neu,neg
Ugww0RHqCtgHjG2BWcR4AaABAg,youtube,sin_dieta,xL8Ct-PYrJw,,https://www.youtube.com/watch?v=xL8Ct-PYrJw,"excelente video !   : :   él dejar acá abajo el nota que tomar para empezar mi camino hacia el veganismo . el información ser poder !   : :   evitar deficiencia de nutrient - proteína = legumbres - vitamina a = zanahorio - vitamina b12 = ser importante comer uno suplemento - vitamina d = tomar sol uno minuto al día - calcio = nuez , coliflor , apio , brócoli , hoja de nabo , legumbr - zinc = legumbres - omega 3 = chía , linaza , - hierro = acelga , espinaca , legumbres - fibra = avén , quinoa , amaranto , cus cus frutas y verdura comer entre 5 y 8 porciones al dia ( cada uno de entre 50 y 80 gramo ) ideal : 2 o 3 fruta al día y 4 porción de ensalada + zanahoria ( 2 en almuerzo y 2 en cena ) legumbres = derivado de el soya ( 1 solo porción al día ) , garbanzo , lenteja ( 3 tipo ) , poroto , arveja , haba , chaucha , soja ( tofu ) , comer 2 porción al día recomendaciones para el consumo de legumbres 1 - poner él a remojo uno doce hora antes con agua él más puro posible sin añadir él sal ni bicarbonato que ralentizar el ablandamiento y alterar el sabor . 2 - cocinarla o germinar él antes de ingerir él 3 - él deber añadir sal en el último momento para evitar que el piel él endurecer . 4 - antes de comer legumbr , consumir alguno tipo de cítrico ( limón o naranja ) , ser bueno tener bebida previamente preparado como el limonada . 5 - evitar tú , café , vino tinto y chocolates 1 hora antes o después de consumo legumbr . cereales = arroz , fideo y derivado del trigo ( avena , quinoa , amaranto , cus cus ) , cebado , centeno , ajonjolí . comer entre 7 y 10 cucharada al día ( 70 a 100 gramo ) frutos seco y semilla ( chía , linaza en aceita o el semilla remojada ) comer entre 2 y 5 cucharadas ( 20 a 50 gramo ) - dos ejemplo de dieta para cada día día 1 : desayuno : avena con yogurt de soja y manzana almuerzo : legumbr con arroz + ensalado a gusto + aceita o semilla de chía o linaza+ zanahoria + 1 fruta merienda : avena con yogurt y fruto seco cena : legumbr con pasta + ensalado a gusto + zanahoria + 1 fruta día 2 : desayuno : batido de avena con banana + fruto seco almuerzo : pure de garbanzo y hamburguesa de lenteja ensalado a gusto + aceita o semilla de chía o linaza+ zanahoria + 1 fruta merienda : sándwich de pasta de tofu con lechuga y tomate cena : ensalado de quinoa con tomate y zanahoria + aceita o semilla de chía o linaza + 1 fruta",pos,neu
UgybsTGCGI-qa5kK3tR4AaABAg,youtube,sin_dieta,xL8Ct-PYrJw,,https://www.youtube.com/watch?v=xL8Ct-PYrJw,"tú dejar aquí él que decir frutas y verduras:5 y 8 porción al día . ( manzana , naranja y pera ser 1 porción . el plátano ser dos porción por contener menos agua y estar mas concentrado ) . verduras 2 taza ser uno porción .   : :   si consumes 3 porción de fruta al dia , consumir 1 ó 2 porción de ensalada ( 4-6 tacita : : ) . agregar 1 zanahorio al día.(aportir todo el vitamina a que necesitir ) . otro opción ser el espinaca y acelga . el espinacas aportar menos de el mitad ½ de él que necesitar al día de vitamina a. el acelgas aportar menos del 30% de él que necesitar al día de vitamina a. ( espinacas y acelgas aportarir hierro y calcio ) . legumbres proteína , hierro , zinc , que no_hacer no_falta no_comer carne . 2 porciones:(ej;legumbr con arroz o alguno pasta ) -garbanzo con puré de zapallo , hamburguesas de legumbr , mucho nutritivo . carne de soja , el tofu , leche de soja , yogur de soja . ( derivados de el soja ) no_él no_recomendar no_consumir más de 1 porción de soja al día . poder provocar alguno problema hormonal . cómo obtener mejor absorción de legumbr . remojar antes de cocer o germinar(8h ) . consumir jugo o fruta cítrico antes de comer él . evitar té , café , vino tinto , y chocolate(cacao ) justo antes y después de comer él , al menos 1h antes y 1h después . cereal : arroz , fideo , harina y su derivados(pan , masa , galleta etc .. alto en proteína , fibra , calcio , zinc , hierro : avena , quinoa , amaranto , cus cus ? ! elegir cereal alto en proteína que más tú gustar . ejemplos;-avén con yogur de soja y manzana o frutos seco , plátano . ensalado de quinoa con tomate y zanahoria . fruto seco y semilla : no_ser no_estrictamente no_necesario , pero ser él ideal por su aporte de aminoácido y más nutrient . 1 ó 2 puñados al día . cada puñado ser relativamente similar a 2 ó 3 cucharada de yogur . omega-3;semilla de chía y de linaza , aunque el linaza ser mejor opción ya que el 60% de su aceite + /- corresponder a omega-3.1 cuchar de aceite de chia o linaza ó 1 puñado de este 2 semilla . el canola , pero sólo el 9% ser omega-3 . remojarla antes de consumir él y masticar él bien para incorporar bien el aceite . frutas y verduras 5 ó 8 porciones al día . 2 porción de legumbres 2 porción de ensalada acompañarar a nuestro comida . 1 porción de ensalada ser 2 tacita   : :   y agregar 1 zanahorio + aceite de chía o linaza día .",neg,neu
UgiFAbzJkPufEXgCoAEC,youtube,paleo,BCUwJV6GRNA,,https://www.youtube.com/watch?v=BCUwJV6GRNA,"no_conocer no_mucho no_bien el dieta paleo y yo estar informar con tu vídeo . querer subrayar dos aspecto que no_yo no_encajar no_de este vídeo : 1 ) el aceite de oliva no_ser no_algo no_que uno él encontrar en estado natural y , por él tanto , el paleolítico no_poder no_incluir él no_en su dieta porque implicar desarrollar uno tipo de vida sedentario . pero entender que ser incluir en uno dieta que buscar grasa saludable . algo parecido pasar con el verdura : su cultivo implicar el sedentarismo para poder esperar al crecimiento de el verdura y crear utensilio para plantar él y quitar él el mala hierba y regar él . pero , de nuevo , entender que él incluir en este dieta . aunque no_entender no_porqué no_él incluir el verdura y no_el no_cereal no_como el trigo , ya que proporcionar hidrato de carbono y glucós de largo consumición que no_ser no_perjudical no_como el azúcar . él decir porque él eliminar el azúcar ( no_discutir no_si no_estar bien o no_, no_para no_yo mejor ) y el cereal ( como el trigo ) pero el fruta contener fructosa ( que venir a ser uno tipo de "" azúcar""/glucós pero sano ) . 2 ) el tema de el fruta y verdura ecológico : en el paleolítico no_haber no_química no_y , por él tanto , todo ser 100% natural o , como él decir ahora , ecológico o biológico . el problema ser que ahora él etiquetar así porque apenas él cultivar nada natural , es decir , respetar el proceso de el planta , sacar el "" mala hierba "" a mano y dejar que el insecto ir a el planta que querer ( y , por él tanto , sacar él a mano ) . entonces , si comes "" 100% sano con el dieta paleo "" pero tomar fruta y verdura no_ecológico no_( no_él mismo él poder decir de el carne ; del pescado ser más complicado porque el mar estar mucho contaminado ) estar injireir mucho producto químico que quedar al cuerpo y que , a el larga , ser perjudicial . el tema económico no_ayudar no_, no_pero tener explicación : el industria alimentario no_ecológico no_ser no_poderoso y presionar para poder ofrecer precio más barato . además , no_haber no_política no_que promocionar el consumo de el producto ecológico . todo este él decir para que este dieta ser más coherente .",neu,neg
UgyK9vjTkwB_moF1g4h4AaABAg,youtube,ayuno,T9A7iKzCuGw,,https://www.youtube.com/watch?v=T9A7iKzCuGw,"doctor , ya no_yo no_convencer no_su argumento . desde que alterno el dieta cetogénico con el dieta mediterráneo haber mejorar en mi aparato digestivo , tener más energía y más claridad mental . también mantener mi bajo peso , nulo inflamación y bajo perímetro abdominal . antes , con tanto legumbre , vegetal y semilla tener continuamente molestia intestinal y poco fuerza ( debilidad ) . ahora mantener verdura y algo de fruta únicamente estacional . seguir a nutrillermo por youtube , haber que comer más huevo campero , queso curado y más grasa saturada procedente de el carne pero que ser de buen calidad , de animal expuesto al sol ( rico en omega 3 ) , no_animal no_hacinado no_en granja . por supuesto , no_consumo no_procesado no_, leche de vaca , pan , pasta , harina , azúcar ni aceite refinado de semilla . mi ventana de ingesta ser de 8 hora y el de ayuno 16 hora x día . por este condición realacer únicamente dos comida al día . tener 55 año y realacer ejercicio de fuerza 5 vez a el semana anteriormente con su estilo de vida y con el actual ( keto combinado ) . el diferencia ser que antes yo encontrar débil y ahora tener menos estrés y ser más creativo . doctor , necesitar el colesterol y por él nuestro organismo él producir . el cerebro y el mitocondria también requerir grasa para el diferente proceso metabólico . obviamente , no_todo no_el no_ldl ( colesterol malo ) ser igual ; él haber oxidado por efecto de el glicación y este ser el realmente malo ( aterogénico ) poder producir placa de grasa en el arteria . haber que tener uno triglicérido en valor funcional 70 . confirmar con uno analítica de pcr que no_haber no_inflamación no_interno . yo exponer al sol , soler respetar el ritmo circadiano ( descanso bien ) y no_yo no_faltar no_uno buen suplemento de omega 3 . tomo agua cuando él necesitar con metabolito ( sal marino yodado ) y uno buen balance de potasio para el correcto función renal . aunque ya no_estar no_de no_acuerdo con su idea , continuo respetar su dedicación y empeño . saludo desde el islas canarias ( españa ) .",neu,neg
UgyM_fivNFuw1gvE7-x4AaABAg,youtube,sin_dieta,H8ytrJt1Y4M,,https://www.youtube.com/watch?v=H8ytrJt1Y4M,"hola doctor , mi pareja y yo empezar ayer el dieta queto , él tener colesterol , asir úrico y tender a subir él el tensión , tener que bajar peso , y yo tener hipotiroidismo , problema hormonal y metabólico , no_tener no_vesícula no_, y necesitar bajar peso también , por grasa y porque retener líquido . ayer de desayuno comer 2 huevo revuelto y 2 loncha de bacon todo hecho con 2 cucharada de aceite de coco , uno puñado de 4 queso grasoso rallado , y medio aguacate , a ese él añadir 2 cucharada de aceite de oliva virgen extra y sal rosa del himalaya . en el almuerzo comer carne de cerdo picado cocinado con mantequilla de vaca , uno huevo revuelto cocinado con 2 cucharada de aceite de coco , uno puñado de queso grasoso rallado , el mitad del plato de berro crudo y medio aguacate , a ese él añadir 2 cucharada de aceite de oliva y sal rosa del himalaya . y de cena comer boquerón , uno 5 boquerón por porción , cocinado con 2 cucharada de aceite de coco , uno huevo frito cocinado con mantequilla de vaca , 2 puñado de mezcla de 4 queso grasoso rallado , medio plato de berro crudo , 10 aceituna verde y nuevamente 2 cucharada de aceite de oliva y sal rosa del himalaya . yo tomar más de 2 litro de agua y por el noche infusión de planta para poder dormir porque sino no_poder no_, no_tener ansiedad , insomnio y estrés crónico y hacer uno semana dejar el pastilla de el ansiedad y el de dormir , yo haber costar mucho empezar a dormir sin pastilla al principio dormir al rededor de uno hora y yo despertar con pesadilla horrorosa , llorar por el noche , ahora no_tener no_pesadilla no_, no_dormir no_más no_de 4 hora pero yo despertar bien . querer continuar con el dieta queto , promover él y mostrar él al mundo nuestro cambio , yo poder decir si estar hacer el cosa bien en cantidad y comida por favor , para continuar más tranquilo , o si tener que cambiar algo ? si estar bien ya tener aquí otro idea para comer queto , mil gracia , por favor contésteme bendición",neg,neu
Ugy1Ubsqxx7ujwMZjU94AaABAg,youtube,keto,T9A7iKzCuGw,,https://www.youtube.com/watch?v=T9A7iKzCuGw,"entender y valoro que como profesional de el salud base su opinión en estudio , sin embargo , querer aportar otro mirada también sustentado en ciencia revisado por par . existir múltiple investigación que mostrar que el dieta cetogénico poder : 1 . reducir significativamente el glucosa en sangre y el hba1c , 2 . revertir el resistencia a el insulina , 3 . mejorar el perfil lipídico y otro marcador cardiovascular importante .   : :   ejemplo concreto : • hallberg et al . ( 2018 , diabetes therapy ): estudio clínico con más de 260 paciente con diabetes tipo 2 mostrar uno reducción de hba1c del 7.6 % al 6.3 % en uno año , disminución del uso de fármaco y mejora sostenido en homa-ir ( resistencia a el insulina ) . pubmed link • virta health 2 año ( 2019 ): intervención con dieta cetogénico en paciente con diabetes tipo 2 . a el 2 año , 38 % alcanzar remisión , mejorar glucós , triglicérido y presión arterial , con reducción de medicamento . virtahealth study summary • volek & phinney ( 2008 , lipids ): dieta cetogénico reducir triglicéridos uno 51 % , aumentar hdl uno 13 % , bajar insulina en ayuna , glucós y mejorar el índice inflamatorio pcr . researchgate link • revisión sistemático ( mdpi , 2022 ): de 20 estudio evaluado , el mayoría mostrar mejora consistente en glucosa , insulina , homa-ir , triglicérido y peso corporal . mdpi article   : :   en resumen : • haber evidencia robusta de que en cierto contexto clínico bien supervisado , el dieta keto no_solo no_ser no_seguro , sino que poder ser terapéutico . • el ciencia no_ser no_dogma no_, y él ideal ser enriquecer el diálogo desde diferente ángulo . • agradecer que él abrir este espacio de conversación y que poder contrastar estudio .",neg,neu
